epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,best_auc_flag,lr
1,0.6643,0.632,0.6058,0.6799,0.5038,0.7264,0.6911,0.6733,0.0,1.0,1,9.990133642141359e-05
2,0.602,0.736,0.6684,0.7283,0.5859,0.7494,0.738,0.6733,0.0,1.0,1,9.96057350657239e-05
3,0.5713,0.7651,0.693,0.7424,0.6251,0.7005,0.7628,0.6964,0.0707,1.0,1,9.911436253643444e-05
4,0.5622,0.7737,0.7029,0.7492,0.6392,0.6213,0.7741,0.7459,0.5657,0.8333,1,9.842915805643155e-05
5,0.5474,0.7872,0.7134,0.7615,0.6473,0.6115,0.7854,0.7525,0.4545,0.8971,1,9.755282581475769e-05
6,0.5331,0.8006,0.7306,0.775,0.6695,0.594,0.8037,0.7756,0.4545,0.9314,1,9.648882429441257e-05
7,0.5281,0.806,0.7338,0.7786,0.6723,0.5986,0.8139,0.6898,0.8586,0.6078,1,9.524135262330098e-05
8,0.5187,0.8135,0.7381,0.7768,0.6848,0.5842,0.8307,0.7888,0.4242,0.9657,1,9.381533400219317e-05
9,0.5146,0.8172,0.7429,0.7838,0.6865,0.6354,0.8396,0.7327,0.1919,0.9951,1,9.221639627510075e-05
10,0.5069,0.8248,0.7483,0.7809,0.7034,0.5925,0.8114,0.7756,0.5051,0.9069,0,9.045084971874735e-05
11,0.4918,0.8368,0.757,0.7935,0.7067,0.5984,0.8465,0.7987,0.4141,0.9853,1,8.852566213878945e-05
12,0.4902,0.837,0.7641,0.7897,0.7289,0.6002,0.8815,0.7624,0.2929,0.9902,1,8.644843137107056e-05
13,0.4773,0.847,0.7707,0.7979,0.7333,0.7345,0.879,0.703,0.0909,1.0,0,8.422735529643442e-05
14,0.4717,0.8511,0.7747,0.8003,0.7394,0.5855,0.8874,0.7855,0.3636,0.9902,1,8.187119948743447e-05
